transaction_id,sender_id,receiver_id,amount,timestamp
TXN_EDGE_DUP0,ACC_DUP,ACC_DUP,1000,2024-04-01 09:00:00
TXN_EDGE_DUP1,ACC_DUP,ACC_DUP,1000,2024-04-01 09:00:00
TXN_EDGE_DUP2,ACC_DUP,ACC_DUP,1000,2024-04-01 09:00:00
TXN_EDGE_DUP3,ACC_DUP,ACC_DUP,1000,2024-04-01 09:00:00
TXN_EDGE_DUP4,ACC_DUP,ACC_DUP,1000,2024-04-01 09:00:00
TXN_EDGE_DUP5,ACC_DUP,ACC_DUP,1000,2024-04-01 09:00:00
TXN_EDGE_DUP6,ACC_DUP,ACC_DUP,1000,2024-04-01 09:00:00
TXN_EDGE_DUP7,ACC_DUP,ACC_DUP,1000,2024-04-01 09:00:00
TXN_EDGE_DUP8,ACC_DUP,ACC_DUP,1000,2024-04-01 09:00:00
TXN_EDGE_DUP9,ACC_DUP,ACC_DUP,1000,2024-04-01 09:00:00
TXN_EDGE_DUP10,ACC_DUP,ACC_DUP,1000,2024-04-01 09:00:00
TXN_EDGE_DUP11,ACC_DUP,ACC_DUP,1000,2024-04-01 09:00:00
TXN_EDGE_DUP12,ACC_DUP,ACC_DUP,1000,2024-04-01 09:00:00
TXN_EDGE_DUP13,ACC_DUP,ACC_DUP,1000,2024-04-01 09:00:00
TXN_EDGE_DUP14,ACC_DUP,ACC_DUP,1000,2024-04-01 09:00:00
TXN_EDGE_DUP15,ACC_DUP,ACC_DUP,1000,2024-04-01 09:00:00
TXN_EDGE_DUP16,ACC_DUP,ACC_DUP,1000,2024-04-01 09:00:00
TXN_EDGE_DUP17,ACC_DUP,ACC_DUP,1000,2024-04-01 09:00:00
TXN_EDGE_DUP18,ACC_DUP,ACC_DUP,1000,2024-04-01 09:00:00
TXN_EDGE_DUP19,ACC_DUP,ACC_DUP,1000,2024-04-01 09:00:00
TXN_EDGE_DUP20,ACC_DUP,ACC_DUP,1000,2024-04-01 09:00:00
TXN_EDGE_DUP21,ACC_DUP,ACC_DUP,1000,2024-04-01 09:00:00
TXN_EDGE_DUP22,ACC_DUP,ACC_DUP,1000,2024-04-01 09:00:00
TXN_EDGE_DUP23,ACC_DUP,ACC_DUP,1000,2024-04-01 09:00:00
TXN_EDGE_DUP24,ACC_DUP,ACC_DUP,1000,2024-04-01 09:00:00
