transaction_id,sender_id,receiver_id,amount,timestamp
TXN_D_C0,ACC_D1,ACC_D2,5000,2024-03-01 09:00:00
TXN_D_C1,ACC_D2,ACC_D3,5200,2024-03-01 09:20:00
TXN_D_C2,ACC_D3,ACC_D1,5400,2024-03-01 09:40:00
TXN_D_FI0,ACC_X0,ACC_D1,700,2024-03-01 09:00:00
TXN_D_FI1,ACC_X1,ACC_D1,700,2024-03-01 09:05:00
TXN_D_FI2,ACC_X2,ACC_D1,700,2024-03-01 09:10:00
TXN_D_FI3,ACC_X3,ACC_D1,700,2024-03-01 09:15:00
TXN_D_FI4,ACC_X4,ACC_D1,700,2024-03-01 09:20:00
TXN_D_FI5,ACC_X5,ACC_D1,700,2024-03-01 09:25:00
TXN_D_FI6,ACC_X6,ACC_D1,700,2024-03-01 09:30:00
TXN_D_FI7,ACC_X7,ACC_D1,700,2024-03-01 09:35:00
TXN_D_FI8,ACC_X8,ACC_D1,700,2024-03-01 09:40:00
TXN_D_FI9,ACC_X9,ACC_D1,700,2024-03-01 09:45:00
TXN_D_SH1,ACC_S1,ACC_S2,3000,2024-03-01 09:00:00
TXN_D_SH2,ACC_S2,ACC_S3,2800,2024-03-01 10:00:00
